,id,date,image_src,content
101,Pride_UwU,2:16,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Too all of the Queens that are fighting alone!
102,Pride_UwU,2:08,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;","If all of the Kings have our Queens on the throne, we would pop champagne and raise our tones~ :D"
103,Nope.,2:08,width:40px;height:40px;,@lea-shin raise a toast*
104,Pride_UwU,1:52,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",But Queens are free to go where ever they like~~
105,Pride_UwU,0:46,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",We would pop champagne~
106,Pride_UwU,0:37,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Oh you might thin I'm with a sword~
107,Pride_UwU,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-BJhHvUbdvqKiWG8g-r1CAtA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Do damsel in distress~
108,Muhammad Aidil,0:29,"background-image: url(""https://i1.sndcdn.com/avatars-000268885585-pfvmo9-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",fuck off
109,Alicia G,0:31,width:40px;height:40px;,😍❤😍❤😍❤😍❤😍❤😍❤😍❤❤❤😍❤😍❤
110,mirelypakkanen,1:00,"background-image: url(""https://i1.sndcdn.com/avatars-000806694604-9ytv56-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@adrian-schwartinsky yeeeeeeaaaaahhhhhhhh
111,GABBIE HANNA 🌹,1:24,"background-image: url(""https://i1.sndcdn.com/avatars-fpeJzoDjga9bMTHM-aEyBRg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",yesssss qween🤣 ❤❤❤🌹💐💕🍓💘💘💘💯💯😍😍😍😍🥰🥰🥰🥰🥰🥰🥰🥰😘🥵🥵😻🙏🙏🙏👍👍👍👍👍👍
112,Stephany Scott,2:04,"background-image: url(""https://i1.sndcdn.com/avatars-000779372500-jfvdrl-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Ava Max is our queen 🧡🧡💙🧡💙💙🧡🧡💙💜💙🖤🖤🖤💙🖤💙💜💙💜💜💙💜💗💗💗💗💗💗💗💗💗💗💓💓💘💓💘💓💘💓💘💓💓💘💓💘💓💘
113,𝖘𝖆𝖗𝖆𝖍 シ,1:15,"background-image: url(""https://i1.sndcdn.com/avatars-W2UEBzKtcF0YqY4L-A0bsYg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Love this
114,Stranger Things Lover,0:46,"background-image: url(""https://i1.sndcdn.com/avatars-SbJyEbn4D5ULHFY4-BvzBRw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",!BEST SONG EVER!!!
115,Stranger Things Lover,0:46,"background-image: url(""https://i1.sndcdn.com/avatars-SbJyEbn4D5ULHFY4-BvzBRw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I LOVE THIS SONG!!!!!!!!!! #BEST SONG EVER!!!!!
116,Anmol Khehra,0:00,"background-image: url(""https://i1.sndcdn.com/avatars-000792976093-pop982-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",great
117,wolfzden,0:02,"background-image: url(""https://i1.sndcdn.com/avatars-BMWuZUWXvHt9yskp-OX7t9g-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",tribute to the kings and queens i know as her maneger
118,Stranger Things Lover,1:18,"background-image: url(""https://i1.sndcdn.com/avatars-SbJyEbn4D5ULHFY4-BvzBRw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",AMAZING SONG
119,mirelypakkanen,1:18,"background-image: url(""https://i1.sndcdn.com/avatars-000806694604-9ytv56-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@chloe-martin-255858146 ❤️❤️❤️❤️❤️❤️❤️
120,Stranger Things Lover,0:26,"background-image: url(""https://i1.sndcdn.com/avatars-SbJyEbn4D5ULHFY4-BvzBRw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",OMG!!
121,Stranger Things Lover,0:09,"background-image: url(""https://i1.sndcdn.com/avatars-SbJyEbn4D5ULHFY4-BvzBRw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I LOVE THE SONG!!!!!!!!!!!
122,Fazil,2:35,"background-image: url(""https://i1.sndcdn.com/avatars-EjOkpCeS4hUoUUAD-0KHVAw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",beautiful
123,omar muhamed,0:16,"background-image: url(""https://i1.sndcdn.com/avatars-F74hOfej2rt5YuOS-u1AhTA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",My fuckin heart❤️❤️❤️❤️❤️
124,asal mansouri,0:53,"background-image: url(""https://i1.sndcdn.com/avatars-000506400384-pdkyb4-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",so cool😎
